key_G#,track_name,artist_count_2,key_A,artist_count_6,artist_count_3,valence_%,in_apple_charts,cover_url,key_G,released_month,release_3,release_2,release_1,streams,artist_count_7,key_A#,mode_Major,key_C#,in_apple_playlists,in_spotify_playlists,key_B,party_val,mode_Minor,in_shazam_charts,released_day,danceability_%,artist_count_4,released_year,artist_count_1,artist_count_8,instrumentalness_%,acousticness_%,key_not provided,season_3,bpm,key_F#,artist(s)_name,speechiness_%,energy_%,in_spotify_charts,in_deezer_playlists,liveness_%,key_E,concert_val,in_deezer_charts,key_D#,key_F,artist_count_5,season_2,season_1,key_D
0.0,Bohemian Rhapsody - Remastered 2011,0.0,0.0,0.0,0.0,23,2.171741695591032,https://i.scdn.co/image/ab67616d0000b273ce4f1737bc8a646c8c4bd25a,0.0,10,1,0,0,2.975950812855411,0.0,0.0,0.0,0.0,2.923548640812914,4.162268220023917,0.0,-2.150408506966067,1.0,-0.26898043310739217,31,41,0.0,1975,1.0,0.0,0,27,1.0,1,-1.7877560365534337,0.0,Queen,5,40,-0.45957171691813636,4.395664683632618,30,0.0,0.2383601380773161,0.8216319060126342,0.0,0.0,0.0,0,0,0.0
0.0,Bombonzinho - Ao Vivo,1.0,0.0,0.0,0.0,72,0.3440903670146682,https://i.scdn.co/image/ab67616d0000b2736ccbcc3358d31dcba6e7c035,0.0,11,0,0,1,-0.4479505364647105,0.0,0.0,1.0,1.0,-0.47347060741813785,-0.49646922544742683,0.0,1.257499802147507,0.0,-0.3420853365002161,3,65,0.0,2022,0.0,0.0,0,31,0.0,1,1.27624985348702,0.0,"Israel & Rodolffo, Ana Castela",5,95,-0.31291014018286384,-0.2741916088293228,92,0.0,2.433742216418203,-0.11598301733844807,0.0,0.0,0.0,0,0,0.0
0.0,Back To December (Taylor's Version),0.0,0.0,0.0,0.0,20,0.4030468614848735,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,0.0,7,0,0,1,-0.845002195218141,0.0,0.0,1.0,0.0,-0.5886238022734277,-0.6301480625389022,0.0,-0.6761630861824756,0.0,-0.32879353588333904,7,50,0.0,2023,1.0,0.0,0,1,0.0,0,0.7127545173876261,0.0,Taylor Swift,3,64,0.2248489745131353,-0.3307153232984243,12,0.0,-1.2917546437966356,-0.4285213251221422,0.0,0.0,0.0,1,0,1.0
0.0,Boy's a liar Pt. 2,1.0,0.0,0.0,0.0,86,0.6388728393656946,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,0.0,2,0,0,1,-0.637626893529346,0.0,0.0,1.0,0.0,1.0004902867295729,-0.025296283950119076,0.0,0.8471895040909261,0.0,-0.1360624269386213,3,70,0.0,2023,0.0,0.0,0,25,0.0,0,0.39578839083171713,0.0,"PinkPantheress, Ice Spice",5,81,1.3981415883953152,-0.2500859070704413,25,0.0,0.005516584313888459,1.7592468293637167,0.0,1.0,0.0,0,1,0.0
0.0,Excuses,0.0,0.0,0.0,1.0,49,-0.5992135445086161,Not Found,0.0,7,0,1,0,-0.3345415369881965,0.0,0.0,0.0,0.0,-0.6922616776431887,-0.6142025151548965,0.0,0.9992504822247953,1.0,-0.3819607383508474,24,84,0.0,2020,0.0,0.0,0,8,0.0,0,-0.942513032404343,0.0,"Intense, AP Dhillon, Gurinder Gill",8,72,-0.4106845246730455,-0.33320901658382585,15,0.0,-0.7928041714464339,-0.4285213251221422,0.0,1.0,0.0,1,0,0.0
0.0,Mami Chula,1.0,0.0,0.0,0.0,33,-0.7564308630958302,Not Found,1.0,4,0,0,1,-0.8062632776963861,0.0,0.0,0.0,0.0,-0.5771084827878987,-0.541908040925157,0.0,0.7866491385416507,1.0,-0.09618702508799004,27,80,0.0,2023,0.0,0.0,0,22,0.0,0,-0.06205156974904029,0.0,"Quevedo, Jhayco",4,70,-0.4106845246730455,-0.3124282392054797,9,0.0,-0.6597507121530469,-0.4285213251221422,0.0,0.0,0.0,0,1,0.0
0.0,Lovezinho,0.0,0.0,0.0,0.0,61,-0.9726046761532495,Not Found,0.0,7,0,0,1,-0.7903899487911598,0.0,0.0,0.0,0.0,-0.6346850802155437,-0.6177992551663264,0.0,0.42460241366189405,1.0,-0.3553771371170932,28,82,0.0,2022,1.0,0.0,0,30,0.0,0,0.2196960983006566,0.0,Treyce,4,59,-0.6062332936534088,-0.3240654745373535,12,1.0,-0.2938536990962323,-0.4285213251221422,0.0,0.0,0.0,1,0,0.0
0.0,Monotonï¿½,1.0,0.0,0.0,0.0,82,-0.34373540180439327,Not Found,0.0,10,0,0,1,-0.24028569128141875,0.0,0.0,0.0,0.0,0.5859387852505292,-0.20980904653646937,0.0,1.0948916282663077,1.0,-0.25568863249051504,19,87,0.0,2022,0.0,0.0,0,42,1.0,1,0.36056993232550505,0.0,"Ozuna, Shakira",5,70,0.12707459002295363,-0.21018681450401677,21,0.0,0.43794032701739677,0.19655529044524606,0.0,0.0,0.0,0,0,0.0
1.0,After Dark,0.0,0.0,0.0,0.0,4,-0.8350395223894372,https://i.scdn.co/image/ab67616d0000b273b492477206075438e0751176,0.0,8,1,0,0,0.2310253014728594,0.0,0.0,1.0,0.0,-0.7613535945563625,-0.4338859492485478,0.0,-0.512978380092901,0.0,-0.3819607383508474,8,58,0.0,2014,1.0,0.0,41,7,0.0,0,0.6423176003752019,0.0,Mr.Kitty,3,60,0.0781873977778628,-0.33237778548869196,8,0.0,-1.225227914149942,-0.4285213251221422,0.0,0.0,0.0,1,0,0.0
0.0,DESPECHï¿,0.0,0.0,0.0,0.0,78,0.7567858283061052,Not Found,1.0,7,0,0,1,0.47093476324971384,0.0,0.0,1.0,0.0,1.2998885933533266,0.26591976564198283,0.0,0.9673842348773415,0.0,-0.01643622138672754,28,92,0.0,2022,1.0,0.0,0,18,0.0,0,0.29013301531308083,0.0,ROSALï¿½,10,62,1.0070440504345888,0.01590804337238908,6,0.0,-0.6930140769763936,1.9155159832555637,0.0,0.0,0.0,1,0,0.0
